id,name,address
1,Hilton Garden Inn Seattle Downtown,"1821 Boren Avenue, Seattle Washington 98101 USA"
2,Sheraton Grand Seattle,"1400 6th Avenue, Seattle, Washington 98101 USA"
3,Crowne Plaza Seattle Downtown,"1113 6th Ave, Seattle, WA 98101"
4,Kimpton Hotel Monaco Seattle ,"1101 4th Ave, Seattle, WA98101"
5,The Westin Seattle,"1900 5th Avenue, Seattle, Washington 98101 USA"
6,The Paramount Hotel Seattle,"724 Pine Street, Seattle Central Business District, Seattle, WA 98101"
7,Hilton Seattle,"1301 6th Avenue Seattle, Washington, 98101-2314, USA"
8,Motif Seattle,"1415 Fifth Ave Seattle, WA 98101 "
9,Warwick Seattle,"401 Lenora Street Seattle, Washington 98121"
10,Hilton Garden Inn Seattle Downtown,"1821 Boren Ave, Seattle WA 98101 USA"
11,Four Seasons Hotel Seattle,"99 Union St, Seattle, WA 98101"
12,W Seattle,"1112 4th Ave, Seattle, WA 98101"
13,Crowne Plaza Seattle,"1113 6th Ave, Seattle, Washington 98101"
14,Gand Hyatt Seattle,"721 Pine St, Seattle, WA 98101"
15,Kimpton Alexis Hotel,"1007 1st Ave, Seattle, WA 98104"
16,Hotel Max,"620 Stewart St, Seattle, WA 98101"
17,Ace Hotel Seattle,"2423 1st Ave, Seattle, WA 98121"
18,Seattle Marriott Waterfront,"2100 Alaskan Way, Seattle, WA 98121"
19,The Edgewater Hotel Seattle,"2411 Alaskan Way, Seattle, WA 98121"
20,SpringHill Suites Seattle Downtown,"1800 Yale Ave, Seattle, WA 98101"
21,Fairmont Olympic Hotel,"411 University St, Seattle, WA 98101"
22,La Quinta Inn & Suites Seattle Downtown,"2224 8th Ave, Seattle, WA 98121"
23,Embassy Suites by Hilton Seattle Downtown Pioneer Square,"255 S King St, Seattle, WA 98104"
24,Pan Pacific Seattle,"2125 Terry Ave, Seattle, WA 98121"
25,Kimpton Hotel Vintage Seattle,"1100 5th Ave, Seattle, WA 98101"
26,Hyatt Place Seattle,"110 6th Ave N, Seattle, WA 98109"
27,Hyatt House Seattle,"201 5th Ave N, Seattle, WA 98109"
28,Inn at the Market,"86 Pine St, Seattle, WA 98101"
29,Ace Hotel Seattle,"2423 1st Ave, Seattle, WA 98121"
30,Moxy Seattle Downtown,"1016 Republican St, Seattle, WA 98109"
31,Thompson Seattle,"110 Stewart St, Seattle, WA 98101"
32,Holiday Inn Seattle Downtown,"211 Dexter Ave N, Seattle, WA 98109"
33,Executive Hotel Pacific,"400 Spring St, Seattle, WA 98104"
34,Hotel Andra,"2000 4th Ave, Seattle, WA 98121"
35,Residence Inn by Marriott Seattle Downtown/Convention Center,"1815 Terry Ave, Seattle, WA 98101"
36,Best Western Plus Pioneer Square Hotel Downtown,"77 Yesler Way, Seattle, WA 98104"
37,Travelodge Seattle by The Space Needle,"200 6th Ave N, Seattle, WA 98109"
38,Homewood Suites by Hilton Seattle Convention Center Pike Street,"1011 Pike St, Seattle, WA 98101"
39,Hyatt Regency Seattle,"808 Howell St, Seattle, WA 98101"
40,Hotel Sorrento,"900 Madison St, Seattle, WA 98104"
41,City Hostel Seattle,"2327 2nd Ave, Seattle, WA 98121"
42,Holiday Inn Express & Suites Seattle-City Center,"226 Aurora Ave N, Seattle, WA 98109"
43,Travelodge Seattle by The Space Needle,"200 6th Avenue North, Seattle, Washington 98109"
44,Staybridge Suites Seattle - Fremont,"3926 Aurora Ave N, Seattle, WA 98103"
45,Mayflower Park Hotel,"405 Olive Way, Seattle, WA 98101"
46,The Inn at El Gaucho,"2505 1st Ave, Seattle, WA 98121"
47,Palihotel Seattle,"107 Pine St, Seattle, WA 98101"
48,Courtyard by Marriott Seattle Downtown/Pioneer Square,"612 2nd Ave, Seattle, WA 98104"
49,The Arctic Club Seattle - a DoubleTree by Hilton Hotel,"700 3rd Ave, Seattle, WA 98104"
50,Sheraton Bellevue Hotel,"100 112th Ave NE, Bellevue, WA 98004"
51,Inn at Queen Anne,"505 1st Ave N, Seattle, WA 98109"
52,Holiday Inn Express & Suites Seattle City Center,"226 Aurora Avenue North, Seattle, Washington 98109"
53,Aloft Seattle Redmond,"15220 NE Shen Street, Redmond, WA 98052"
54,Seattle Airport Marriott,"3201 S 176th St, Seattle, WA 98188"
55,Hilton Seattle Airport & Conference Center,"17620 International Blvd, Seattle, WA 98188"
56,Crowne Plaza Seattle Airport,"17338 International Blvd, Seattle, WA 98188"
57,Radisson Hotel Seattle Airport,"18118 International Blvd, Seattle, WA 98188"
58,DoubleTree by Hilton Hotel Seattle Airport,"18740 International Blvd, Seattle, WA 98188"
59,Ramada by Wyndham SeaTac Airport,"16720 International Blvd, SeaTac, WA 98188"
60,La Quinta by Wyndham Seattle Sea-Tac Airport,"2824 S 188th St, Seattle, WA 98188"
61,Clarion Hotel Seattle Airport,"3000 S 176th St, Seattle, WA 98188"
62,Best Western Seattle Airport Hotel,"20717 International Blvd, Seattle, WA 98198"
63,Red Lion Hotel Seattle Airport Sea-Tac,"18220 International Blvd, Seattle, WA 98188"
64,Cedarbrook Lodge,"18525 36th Ave S, Seattle, WA 98188"
65,Red Roof Inn Seattle Airport - SEATAC,"16838 International Blvd, Seattle, WA 98188"
66,Hampton Inn Seattle-Airport,"19445 International Blvd, Seattle, WA 98188"
67,Coast Gateway Hotel,"18415 International Blvd, Seattle, WA 98188"
68,Embassy Suites by Hilton Seattle Tacoma International Airport,"15920 W Valley Hwy, Seattle, WA 98188"
69,Home2 Suites by Hilton Seattle Airport,"380 Upland Dr, Tukwila, WA 98188"
70,Home2 Suites by Hilton Seattle Airport,"380 Upland Drive, Tukwila, Washington 98188"
71,"Country Inn & Suites by Radisson, Seattle-Tacoma International Airport","3100 S 192nd St, Seattle, WA 98188"
72,Four Points by Sheraton Seattle Airport South,"22406 WA-99, Des Moines, WA 98198"
73,Homewood Suites by Hilton Seattle-Tacoma Airport/Tukwila,"6955 Fort Dent Way, Tukwila, WA 98188"
74,Motel 6 Seattle Sea-Tac Airport South,"18900 47th Ave S, Seattle, WA 98188"
75,Hostelling International Seattle at the American Hotel,"520 S King St, Seattle, WA 98104"
76,Green Tortoise Hostel Seattle,"105 Pike St, Seattle, WA 98101"
77,Days Inn Seattle South Tukwila,"13050 48th Ave S, Seattle, WA 98168"
78,Econo Lodge SeaTac Airport North,"13910 Tukwila International Blvd, Seattle, WA 98168"
79,Days Inn by Wyndham Seattle North of Downtown,"9100 Aurora Ave N, Seattle, WA 98103"
80,Travelodge by Wyndham Seattle North of Downtown,"8512 Aurora Ave N, Seattle, WA 98103"
81,Comfort Inn & Suites,"13700 Aurora Ave N, Seattle, WA 98133"
82,MarQueen Hotel,"600 Queen Anne Ave N, Seattle, WA 98109"
83,Roy Street Commons,"621 12th Ave E, Seattle, WA 98102"
84,Hotel Seattle,"315 Seneca Street, Seattle, WA 98101"
85,Hotel Seattle,"316 Seneca St, Seattle, WA 98101"
86,Columbus Motor Inn,"9613 Aurora Avenue North, Seattle, WA 98103"
87,Holiday Inn Express & Suites North Seattle - Shoreline,"14115 Aurora Ave N, Seattle, WA 98133"
88,Travelodge by Wyndham Seattle University,"4725 25th Ave NE, Seattle, WA 98105"
89,Comfort Inn & Suites,"13700 Aurora Avenue North, Seattle, Washington 98133"
90,Crown Inn Motel,"9501 Aurora Ave N, Seattle, WA 98103"
91,Roy Street Commons,"621 12th Avenue East, Seattle, Washington 98102"
92,Seattle Inn Northgate,"12035 Aurora Ave N, Seattle, WA 98133"
93,Seattle Inn Northgate,"12035 Aurora Ave N, Seattle, WA 98133"
94,Marco Polo Motel,"4114 Aurora North, Seattle, WA 98103"
95,Ballard Inn,"5300 Ballard Ave NW, Seattle, WA 98107"
96,The Loyal Inn,"2301 8th Ave, Seattle, WA 98121"
97,Kings Inn,"2106 5th Ave, Seattle, WA 98121"
98,New La Hacienda Motel,"5414 1st Ave S, Seattle, WA 98108"
99,Nites Inn Motel,"11746 Aurora Ave N, Seattle, WA 98133"
100,Americas Best Value Inn Shoreline / Seattle North,"14817 Aurora Ave N, Shoreline, WA 98133"
101,Knights Inn Tukwila,"14110 Tukwila International Blvd, Tukwila, WA 98168"
102,Extended Stay America - Seattle - Northgat,"13300 Stone Ave N, Seattle, WA 98133"
103,University Motel Suites,"4731 12th Ave NE, Seattle, WA 98105"
104,Graduate Seattle,"4507 Brooklyn Ave NE, Seattle, WA 98105"
105,Econo Lodge Renton-Bellevue,"4710 Lake Washington Blvd NE, Renton, WA 98056"
106,Chittenden House Bed and Breakfast,"5649 47th Ave SW, Seattle, WA 98136"
107,Emerald Motel,"12045 Aurora Ave N, Seattle, WA 98133"
108,Stay Alfred on 4th Avenue,"2201 4th Ave, Seattle, WA 98121"
109,Silver Cloud Hotel - Seattle Stadium,"1046 1st Ave S, Seattle, WA 98134"
110,Renaissance Seattle Hotel,"515 Madison St, Seattle, WA 98104"
111,Quality Inn & Suites Seattle Center,"618 John Street, Seattle, Washington 98109"
112,The Baroness Hotel,"1005 Spring St, Seattle, WA 98104"
113,Renaissance Seattle Hotel,"515 Madison Street, Seattle, Washington 98104"
114,Kimpton Palladian Hotel,"2000 2nd Ave, Seattle, WA 98121"
115,Panama Hotel and Tea House,"605 S Main St, Seattle, WA 98104"
116,Four Points by Sheraton Downtown Seattle Center,"601 Roy St, Seattle, WA 98109"
117,"Loews Hotel 1000, Seattle","1000 1st Ave, Seattle, WA 98104"
118,Quality Inn & Suites Seattle Center,"618 John St, Seattle, WA 98109"
119,EVEN Hotel Seattle - South Lake Union,"527 Fairview Ave N, Seattle, WA 98109"
120,Hotel Theodore,"1531 7th Ave, Seattle, WA 98101"
121,Hotel Hotel,"3515 Fremont Ave N, Seattle, WA 98103"
122,Silver Cloud Hotel - Seattle Broadway,"1100 Broadway, Seattle, WA 98122"
123,Residence Inn by Marriott Seattle Downtown/Lake Union,"800 Fairview Ave N, Seattle, WA 98109"
124,Mediterranean Inn,"425 Queen Anne Ave N, Seattle, WA 98109"
125,Executive Inn By The Space Needle,"200 Taylor Ave N, Seattle, WA 98109"
126,The Maxwell Hotel - A Staypineapple Hotel,"300 Roy St, Seattle, WA 98109"
127,Hyatt At Olive 8,"1635 8th Ave, Seattle, WA 98101"
128,Hyatt At Olive 9,"1635 8th Ave, Seattle, WA 98101"
129,Silver Cloud Inn - Seattle Lake Union,"1150 Fairview Ave N, Seattle, WA 98109"
130,The Bacon Mansion Bed and Breakfast,"4528, 959 Broadway E, Seattle, WA 98102"
131,Homewood Suites by Hilton Seattle Downtown,"206 Western Ave W, Seattle, WA 98119"
132,Georgetown Inn,"6100 Corson Ave S, Seattle, WA 98108"
133,The Inn at Virginia Mason,"1006 Spring St, Seattle, WA 98104"
134,The Grove West Seattle Inn,"3512 SW Alaska St, Seattle, WA 98126"
135,Watertown Hotel - A Staypineapple Hotel,"4242 Roosevelt Way NE, Seattle, WA 98105"
136,The State Hotel,"1501 2nd Ave, Seattle, WA 98101"
137,Moore Hotel,"1926 2nd Ave, Seattle, WA 98101"
138,The College Inn,"4000 University Way NE, Seattle, WA 98115"
139,Hotel Five - A Staypineapple Hotel,"2200 5th Ave, Seattle, WA 98121"
140,"The Charter Hotel Seattle, Curio Collection by Hilton","1610 2nd Ave, Seattle, WA 98101"
141,Staybridge Suites Seattle Downtown - Lake Union,"1119 Mercer St, Seattle, WA 98109"
142,University Inn - A Staypineapple Hotel,"4140 Roosevelt Way NE, Seattle, WA 98105"
143,Talaris Conference Center,"4000 NE 41st St, Seattle, WA 98105"
144,"The Sound Hotel Seattle Belltown, Tapestry Collection by Hilton","2120 4th Ave, Seattle, WA 98121"
145,Gaslight Inn,"1727 15th Ave, Seattle, WA 98122"
146,Stay Alfred on 1st Avenue,"1200 Western Ave, Seattle, WA 98101"
147,WorldMark Seattle - The Camlin,"1619 9th Ave, Seattle, WA 98101"
148,Inn at the WAC,"1325 6th Ave, Seattle, WA 98101"
149,Mozart Guest House,"1013 15th Ave E, Seattle, WA 98112"
150,Hyatt Regency Lake Washington At SeattleS Southport,"1053 Lake Washington Blvd N, Renton, WA 98056"
151,Pensione Nichols Bed and Breakfast,"1923 1st Ave, Seattle, WA 98101"
152,Bed and Breakfast Inn Seattle,"1808 E Denny Way, Seattle, WA 98122"
153,Civic Hotel,"325 7th Ave, Seattle, WA 98109"
154,Stay Alfred on Elliott Avenue,"2334 Elliott Ave, Seattle, WA 98121"
155,Shafer Baillie Mansion Bed & Breakfast,"907 14th Ave E, Seattle, WA 98112"
156,11th Avenue Inn Bed and Breakfast,"121 11th Ave E, Seattle, WA 98102"
157,Hyatt Regency Lake Washington At SeattleS Southport,"1053 Lake WA Boulevard North, Renton, Washington 98056"
158,Oakwood Seattle South Lake Union,"717 Dexter Ave N, Seattle, WA 98109"
159,citizenM Seattle South Lake Union hotel,"201 Westlake Avenue North, Seattle, Washington 98109"
160,Mildred's Bed and Breakfast,"1202 15th Ave E, Seattle, WA 98112"
161,First Hill Apartments,"400 10th Ave, Seattle, WA 98122"
162,Hampton Inn Seattle/Southcenter,"7200 S 156th St, Tukwila, WA 98188"
163,The Halcyon Suite Du Jour,"1125 9th Ave W, Seattle, WA 98119"
164,Vermont Inn,"2721 4th Ave, Seattle, WA 98121"
165,Stay Alfred on Wall Street,"2515 4th Ave, Seattle, WA 98121"
166,Pike's Place Lux Suites by Barsala,"2nd Ave and Stewart St, Seattle, WA 98101"
167,Pike's Place Lux Suites by Barsala,"2rd Ave and Stewart St, Seattle, WA 98101"
168,citizenM Seattle South Lake Union hotel,"201 Westlake Ave N, Seattle, WA 98109"
